id_stacji,stacja,rzeka,województwo,stan_wody,stan_wody_data_pomiaru,temperatura_wody,temperatura_wody_data_pomiaru,zjawisko_lodowe,zjawisko_lodowe_data_pomiaru,zjawisko_zarastania,zjawisko_zarastania_data_pomiaru
150180020,Turawa,"Mała Panew",opolskie,156,"2017-11-25 13:10:00",,,,,,
149180070,Cieszyn,Młynówka,śląskie,139,"2017-11-25 13:10:00",,,,,0,"2017-10-25 11:00:00"
151210040,"Brody Iłżeckie",Kamienna,świętokrzyskie,152,"2017-11-25 13:10:00",,,0,"2017-11-24 12:57:00",0,"2017-11-22 11:04:00"
153210200,Maldanin,"Jez. Roś",warmińsko-mazurskie,158,"2017-11-25 13:10:00",,,0,"2017-11-15 11:10:00",0,"2017-09-15 06:58:00"
151200120,Białobrzegi,Pilica,mazowieckie,211,"2017-11-25 13:00:00",0,"2017-07-01 06:10:00",0,"2017-07-05 09:31:00",0,"2017-08-09 09:10:00"
150170170,"Branice 2",Młynówka,opolskie,166,"2017-11-25 13:10:00",,,,,0,"2017-10-11 08:00:00"
150210110,Głowaczowa,Grabinianka,podkarpackie,159,"2017-11-25 13:10:00",6.5,"2017-11-25 13:10:00",0,"2017-10-24 11:05:00",,
152230190,Białowieża,Narewka,podlaskie,124,"2017-11-25 13:10:00",4.4,"2017-11-25 13:10:00",,,0,"2017-11-23 13:13:00"
150220030,Nisko,San,podkarpackie,189,"2017-11-25 13:10:00",,,0,"2017-11-22 12:01:00",,
149210050,Krajowice,Wisłoka,podkarpackie,173,"2017-11-25 13:10:00",,,0,"2017-11-02 11:03:00",,
153140090,Goleniów,Ina,zachodniopomorskie,258,"2017-11-25 13:10:00",,,,,0,"2017-09-25 09:11:00"
149220010,Nowosielce,Pielnica,podkarpackie,144,"2017-11-25 13:10:00",,,0,"2017-10-11 13:08:00",,
152229999,Małkinia,Bug,mazowieckie,206,"2017-11-25 13:10:00",4.8,"2017-11-25 13:10:00",0,"2017-09-05 13:00:00",0,"2017-11-15 14:00:00"
150190010,Brynica,Brynica,śląskie,176,"2017-11-25 13:10:00",,,,,,
151190020,Szczerców,Widawka,łódzkie,147,"2017-11-25 13:00:00",0,"2017-11-25 13:00:00",,,,
150170090,"Brzeg (most)",Odra,opolskie,195,"2017-11-25 13:10:00",6,"2017-11-25 13:10:00",,,0,"2017-09-26 07:10:00"
151150040,"Nowogród Bobrzański",Bóbr,lubuskie,173,"2017-11-25 13:10:00",,,,,,
153210220,Dobrylas,Pisa,podlaskie,181,"2017-11-25 13:10:00",,,,,,
151150150,"Nowa Sól",Odra,lubuskie,278,"2017-11-25 13:10:00",6.4,"2017-11-25 13:10:00",,,0,"2017-10-26 10:00:00"
151150120,Szprotawa,Bóbr,lubuskie,,,7,"2017-11-25 13:10:00",,,,
152210100,Czarnowo,Orz,mazowieckie,185,"2017-11-25 13:10:00",,,,,211,"2017-08-23 12:06:00"
153180130,Kwidzyn,Liwa,pomorskie,148,"2017-10-24 06:10:00",5.4,"2017-11-25 13:10:00",,,0,"2017-09-21 09:00:00"
154210090,Giżycko,"Pisa (Kanał Giżycki)",warmińsko-mazurskie,147,"2017-11-25 13:10:00",,,,,0,"2017-08-29 16:05:00"
149220150,Dwernik,San,podkarpackie,131,"2017-11-25 13:00:00",5.1,"2017-11-25 13:00:00",,,,
149200040,"Kasinka Mała",Raba,małopolskie,144,"2017-11-25 13:00:00",,,,,0,"2017-07-06 08:10:00"
149190140,Łękawica,Łękawka,śląskie,113,"2017-11-25 13:00:00",,,,,,
151150090,Łozy,Kwisa,lubuskie,192,"2017-11-25 13:10:00",,,,,,
149200230,Czchów,Dunajec,małopolskie,144,"2017-11-25 13:10:00",,,0,"2017-10-26 12:07:00",,
153210170,Ptaki,Pisa,podlaskie,178,"2017-11-25 13:10:00",,,,,0,"2017-09-01 08:01:00"
151150050,"Dobroszów Wielki",Bóbr,lubuskie,197,"2017-11-25 13:10:00",,,,,0,"2017-10-11 09:00:00"
149190230,"Czernichów - Prom",Wisła,małopolskie,254,"2017-11-25 13:00:00",,,,,0,"2017-10-12 09:00:00"
